Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash
CDR,664567,USD,2021,Q1,2021-05-06,2021-05-06,13129533.0,13129533.0,2831000.0,45876000.0,1136000.0,-11110000.0,,,,,38733000,-35439000.0,,21182000.0,-14257000.0,-14330000.0,-79077000.0,0.0,-96220000.0,-71744000
CDW,683318,USD,2021,Q1,2021-05-05,2021-05-05,142200000.0,144350000.0,853200000.0,379400000.0,66900000.0,136400000.0,,,,,1435900000,-153300000.0,,-255900000.0,-409200000.0,-221900000.0,465000000.0,-527600000.0,-374700000.0,664199999
CDZI,1159130,USD,2021,Q1,2021-05-17,2021-05-17,30989500.0,34956750.0,-37817000.0,405000.0,19918000.0,5622000.0,,,,,-11872000,-2789000.0,-1000000.0,,-5795000.0,,109000.0,25711000.0,25820000.0,8153000
CE,109593,USD,2021,Q1,2021-04-23,2021-04-23,116382365.0,117013451.0,2095000000.0,361000000.0,-1261000000.0,6000000.0,,,,,1200000000,-337000000.0,-301000000.0,-79000000.0,818000000.0,-297000000.0,-729000000.0,-750000000.0,-1826000000.0,221000000
CELG,410976,USD,2019,Q3,2019-10-31,2019-10-31,704325000.0,722825000.0,5880000000.0,656000000.0,839000000.0,783000000.0,,,,,8158000000,-295000000.0,-107000000.0,0.0,-802000000.0,,-499000000.0,0.0,-203000000.0,7124000000
CELH,986557,USD,2021,Q1,2021-05-13,2021-05-13,71003107.0,76090118.0,8563222.0,1472898.0,8902046.0,-25043539.0,,,,,-6105373,166789.0,,661943.0,2043062.0,,-9842806.0,26519670.0,16110984.0,12540574
CENT,239618,USD,2021,Q2,2021-05-06,2021-05-06,53645250.0,54771750.0,162158000.0,60812000.0,71260000.0,-57475000.0,,,,,236755000,-57215000.0,0.0,-731292000.0,-789155000.0,,289898000.0,-15557000.0,259081000.0,-292095000
CERN,259186,USD,2021,Q1,2021-05-05,2021-05-05,305437500.0,308083750.0,805181000.0,700090000.0,-141288000.0,239650000.0,,,,,1603633000,-347194000.0,-375040000.0,-49076000.0,-846811000.0,-232891000.0,497500000.0,-276749000.0,-48421000.0,712449000
CETX,178699,USD,2021,Q2,2021-06-23,2021-06-23,16127618.0,16145106.0,-6715008.0,2690012.0,616122.0,-1357239.0,,,,,-5579008,1829408.0,523108.0,-176262.0,4258098.0,0.0,2491481.0,-148292.0,14392026.0,13194422
CF,119051,USD,2021,Q1,2021-05-06,2021-05-06,214625000.0,215050000.0,516000000.0,885000000.0,-60000000.0,176000000.0,-14000000.0,-32000000.0,68000000.0,154000000.0,1517000000,-311000000.0,0.0,16000000.0,-305000000.0,-258000000.0,-755000000.0,9000000.0,-1171000000.0,51000000
CFMS,613117,USD,2021,Q1,2021-05-05,2021-05-05,87706057.0,87706057.0,-26446000.0,4347000.0,3375000.0,-3625000.0,,,,,-22349000,-2137000.0,0.0,0.0,-2137000.0,,4720000.0,102800000.0,107511000.0,83079000
CFX,1067476,USD,2021,Q1,2021-04-29,2021-04-29,137516694.0,138985745.0,60503000.0,250678000.0,3084000.0,15823000.0,,,,,330088000,-100345000.0,,-165491000.0,-265836000.0,0.0,-373422000.0,717912000.0,330864000.0,398049000
CGA,532888,USD,2021,Q3,2021-05-17,2021-05-17,6351723.0,6351723.0,-137937512.0,4005880.0,103686005.0,-7858510.0,,,,,-38104137,-294984.0,,0.0,-500663.0,0.0,-1077735.0,0.0,-1027735.0,-36235550
CGNX,710555,USD,2021,Q1,2021-05-06,2021-05-06,174459000.0,177684250.0,225557000.0,24670000.0,76531000.0,-47754000.0,,,,,279004000,-12665000.0,-19217000.0,1004000.0,-30878000.0,-391600000.0,,144009000.0,-248630000.0,3491000
CGRN,51961,USD,2020,Q4,2021-06-14,2021-06-14,11280000.0,11280000.0,-18387000.0,1452000.0,12454000.0,6182000.0,,,,,1701000,-3209000.0,,,-3209000.0,,20142000.0,15905000.0,35973000.0,34465000
CHART,708868,USD,2021,Q1,2021-05-04,2021-05-04,487856939.0,489605628.0,-1461000000.0,2070000000.0,-181000000.0,704000000.0,,,,,1132000000,-1030000000.0,,-506000000.0,-1417000000.0,-274000000.0,-221000000.0,-175000000.0,91000000.0,-194000000
CHD,378113,USD,2021,Q1,2021-04-29,2021-04-29,246700000.0,251900000.0,776800000.0,198400000.0,-34200000.0,-87000000.0,,,,,854000000,-108400000.0,19700000.0,-512700000.0,-626700000.0,-240200000.0,-689900000.0,-210400000.0,-1155200000.0,-919100000
CHDN,883031,USD,2021,Q1,2021-04-21,2021-04-21,39425000.0,40075000.0,-22500000.0,96900000.0,37900000.0,-33700000.0,,,,,78600000,-198200000.0,,0.0,-203400000.0,-24800000.0,-199400000.0,-193900000.0,-424000000.0,-548800000
CHE,115043,USD,2021,Q1,2021-04-30,2021-04-30,15959750.0,16346500.0,328975000.0,56943000.0,57934000.0,62830000.0,,,,,506682000,-56631000.0,,-2148000.0,-57490000.0,-21386000.0,-160000000.0,-62961000.0,-267987000.0,181205000
CHEF,350160,USD,2021,Q1,2021-04-28,2021-04-28,35411236.0,35411236.0,-86739000.0,20360000.0,3569000.0,72043000.0,,,,,9233000,-6839000.0,,2518000.0,-4321000.0,0.0,-40829000.0,85941000.0,-23645000.0,-18517000
CHGG,987221,USD,2021,Q1,2021-05-03,2021-05-03,128348000.0,128348000.0,-65687000.0,52621000.0,237945000.0,22169000.0,,,,,247048000,-106600000.0,-1259471000.0,-100687000.0,-1450476000.0,,490280000.0,1104629000.0,1500396000.0,296968000
CHH,1059905,USD,2021,Q1,2021-05-10,2021-05-10,55155000.0,55525000.0,42261000.0,49231000.0,10091000.0,2834000.0,,,,,104417000,-30543000.0,1204000.0,-167108000.0,-19367000.0,-12483000.0,-173022000.0,5389000.0,-184736000.0,-99026000
CHJI,815913,USD,2017,Q2,2017-08-14,2017-08-14,64629559.0,64629559.0,-553553.0,404329.0,35816.0,12501.0,,,,,-100907,,,,-16657.0,,98227.0,,98227.0,5514
CHK,378111,USD,2020,Q4,2021-03-01,2021-03-01,9773000.0,9773000.0,-9750000000.0,1097000000.0,8902000000.0,915000000.0,,,,,1164000000,119000000.0,0.0,353000000.0,-992000000.0,-22000000.0,339000000.0,0.0,101000000.0,273000000
CHKE,240259,USD,2020,Q3,2020-12-15,2020-12-15,559568.0,559568.0,-10298000.0,1092000.0,20773000.0,-10640000.0,,,,,927000,-224000.0,,6956000.0,-162000.0,1000.0,35000.0,-22000.0,-584000.0,181000
CHNG,987613,USD,2020,Q4,2021-05-27,2021-05-27,320568687.0,321519169.0,-112210000.0,591048000.0,41556000.0,65802000.0,,,,,586196000,-246381000.0,0.0,-323750000.0,-568032000.0,,-260691000.0,0.0,-294337000.0,-276173000
CHRS,540930,USD,2021,Q1,2021-05-06,2021-05-06,71954397.0,83095998.0,-76275000.0,3130000.0,207238000.0,7942000.0,,,,,142035000,-5585000.0,-140175000.0,0.0,-298260000.0,,222156000.0,20755000.0,222462000.0,66237000
CHRW,378101,USD,2021,Q1,2021-04-30,2021-04-30,135290500.0,136117000.0,601580000.0,100612000.0,29305000.0,-347497000.0,-756865000.0,,287563000.0,121805000.0,384000000,-20727000.0,0.0,387000.0,-46900000.0,-210115000.0,-71000000.0,-125058000.0,-430944000.0,-76961000
CHSP,115723,USD,2019,Q2,2019-08-01,2019-08-01,59271406.0,59562947.0,93099000.0,74691000.0,-23814000.0,7043000.0,,,,,151019000,50653000.0,,,50653000.0,-96529000.0,-75000000.0,-4370000.0,-189133000.0,12539000
CHTR,378110,USD,2021,Q1,2021-04-30,2021-04-30,199209789.0,207538728.0,4130000000.0,9648000000.0,888000000.0,427000000.0,71000000.0,,,356000000.0,15093000000,-7775000000.0,,,-8263000000.0,,5058000000.0,-12440000000.0,-8994000000.0,-2164000000
CHWY,951287,USD,2021,Q1,2021-06-10,2021-06-10,410700750.0,413788000.0,-5897000.0,39837000.0,131418000.0,45018000.0,,,,,210376000,-127047000.0,,-2114000.0,-122113000.0,,-815000.0,318388000.0,356728000.0,444991000
CIDM,620342,USD,2020,Q3,2021-02-22,2021-02-22,99906193.0,99906193.0,-60538000.0,7706000.0,47449000.0,-8949000.0,,,,,-14332000,-1951000.0,0.0,0.0,-980000.0,,-9144000.0,36189000.0,27045000.0,11733000
CIE,546550,USD,2017,Q4,2018-03-02,2018-03-02,29556000.0,29556000.0,-968258000.0,41712000.0,729751000.0,-47716000.0,,,,,-244511000,-250800000.0,867355000.0,,88083000.0,,490000000.0,0.0,-1285000.0,-157713000
CIEN,49697,USD,2021,Q2,2021-06-09,2021-06-09,154826000.0,156526750.0,365773000.0,130597000.0,153236000.0,-69223000.0,,,,,580383000,-88860000.0,-142531000.0,0.0,-209932000.0,,-9715000.0,-9240000.0,-61120000.0,315260000
CIK,113301,USD,2018,Q2,2018-08-02,2018-08-02,118524093.0,119757728.0,603624000.0,106239000.0,-215534000.0,16026000.0,,,,,510355000,-105204000.0,,,-142083000.0,-151497000.0,-260124000.0,8092000.0,-418982000.0,-50438000
CIK0001446,160863,USD,2017,Q4,2018-02-21,2018-02-21,9145957.0,9145957.0,4592481.0,703901.0,-3457566.0,595430.0,,,,,2434246,0.0,,473.0,58006363.0,,-14706279.0,-171946.0,-65203557.0,-4762948
CIVI,1071164,USD,2019,Q1,2019-02-04,2019-02-04,36483794.0,36621126.0,11879000.0,95999000.0,30098000.0,-24409000.0,,,,,113567000,-53060000.0,,-18203000.0,-71269000.0,0.0,-13084000.0,-21609000.0,-36335000.0,5963000
CK00007861,368990,USD,2017,Q2,2017-03-14,2017-03-14,27873000.0,28759000.0,-296717000.0,39157000.0,307152000.0,-1620000.0,,,,,47972000,-26046000.0,,0.0,14569000.0,0.0,-56058000.0,,-57510000.0,4150000
CK00011568,667758,USD,2013,Q1,2013-05-09,2013-05-09,,,-126344000.0,765443000.0,107286000.0,61247000.0,,,,,807632000,-689888000.0,0.0,,-468176000.0,,-198210000.0,,-312589000.0,17283000
CK00015503,231124,USD,2018,Q1,2018-06-15,2018-06-15,,,5049000.0,59440000.0,-37020000.0,-1771000.0,,,,,25698000,-22669000.0,,0.0,-22669000.0,,-4163000.0,,-4202000.0,151000
CKP,669154,USD,2016,Q1,2016-05-05,2016-05-05,42648750.0,42648750.0,-56177000.0,24438000.0,38690000.0,17268000.0,,,,,24219000,,,731000.0,-14771000.0,-20980000.0,4883000.0,-4835000.0,-22089000.0,-15305000
CL,255327,USD,2021,Q1,2021-04-30,2021-04-30,854725000.0,857550000.0,2840000000.0,543000000.0,83000000.0,83000000.0,179000000.0,-320000000.0,,224000000.0,3549000000,-435000000.0,-22000000.0,-2000000.0,-462000000.0,-1657000000.0,-191000000.0,-1021000000.0,-2945000000.0,141000000
CLAR,569146,USD,2021,Q1,2021-05-10,2021-05-10,30540870.0,31661529.0,11186000.0,9535000.0,5281000.0,-2627000.0,,,,,23375000,-5132000.0,0.0,-30498000.0,-35630000.0,-1559000.0,-3251000.0,11298000.0,6409000.0,-6271000
CLBS,798466,USD,2021,Q1,2021-05-06,2021-05-06,23313500.0,23313500.0,-12218000.0,64000.0,1906000.0,-2309000.0,,,,,-12557000,-18000.0,-83451000.0,0.0,-83469000.0,,0.0,104209000.0,104025000.0,7999000
CLC,57096,USD,2016,Q4,2017-01-27,2017-01-27,48690560.0,49059758.0,139390000.0,58602000.0,7029000.0,80377000.0,,,,,285398000,-29601000.0,,-19299000.0,-49043000.0,-44375000.0,-119805000.0,-39826000.0,-201984000.0,33349000
CLCT,512060,USD,2021,Q2,2021-02-12,2021-02-12,6766746.0,6829517.0,17914000.0,3247000.0,5397000.0,7508000.0,,,,,34066000,-3138000.0,,0.0,-4565000.0,-6315000.0,-4954000.0,-1979000.0,-9044000.0,20457000
CLDR,890662,USD,2021,Q1,2021-06-04,2021-06-04,301832500.0,301832500.0,-145121000.0,86448000.0,349230000.0,-40882000.0,,,,,249675000,-10539000.0,-377875000.0,-12358000.0,-400772000.0,,489296000.0,-280460000.0,157549000.0,8176000
CLDT,849434,USD,2021,Q1,2021-05-04,2021-05-04,47030149.0,47066035.0,-46207000.0,53901000.0,-32925000.0,-3942000.0,,,,,-29173000,29109000.0,,2800000.0,31909000.0,-281000.0,-66990000.0,21384000.0,-48945000.0,-46209000
CLF,754906,USD,2021,Q1,2021-04-28,2021-04-28,427121250.0,447371250.0,25000000.0,490000000.0,-96000000.0,-895000000.0,,,,,-476000000,-523000000.0,-11000000.0,-658000000.0,-1170000000.0,-41000000.0,2433000000.0,-701000000.0,1566000000.0,-77000000
CLFD,824450,USD,2021,Q2,2021-04-28,2021-04-28,13740709.0,13726654.0,12847234.0,2350054.0,995170.0,-5133360.0,,,,,11059098,-1304871.0,4324696.0,0.0,3019825.0,,0.0,367769.0,-315758.0,13763165
CLGX,896316,USD,2021,Q1,2021-05-07,2021-05-07,77092000.0,79147500.0,294909000.0,175648000.0,70915000.0,32783000.0,,,,,612201000,-99272000.0,50023000.0,48987000.0,-11177000.0,-92488000.0,96818000.0,-495395000.0,-533455000.0,75705000
CLH,857873,USD,2021,Q1,2021-05-05,2021-05-05,55220500.0,55437000.0,145001000.0,290545000.0,26458000.0,37912000.0,,,,,499916000,-148811000.0,-12398000.0,-31901000.0,-193110000.0,,-163347000.0,-84049000.0,-256013000.0,64178000
CLNE,260313,USD,2021,Q1,2021-05-06,2021-05-06,199158637.0,198896751.0,-19875000.0,47493000.0,13817000.0,27121000.0,,,,,68556000,-8948000.0,-74292000.0,0.0,-12402000.0,,-3947000.0,-5698000.0,-6579000.0,50173000
CLOUD,961018,USD,2021,Q1,2021-05-07,2021-05-07,302241500.0,302241500.0,-126587000.0,54042000.0,131874000.0,-38688000.0,,,,,20641000,-67238000.0,-374293000.0,-302000.0,-458725000.0,,507667000.0,23736000.0,516969000.0,78885000
CLR,101392,USD,2021,Q1,2021-04-28,2021-04-28,360384500.0,360855500.0,-158502000.0,1853999000.0,84144000.0,19105000.0,,,,,1798746000,-1232703000.0,,,-1232703000.0,-111000.0,-976524000.0,0.0,-987557000.0,-421514000
CLRB,99062,USD,2021,Q1,2021-05-10,2021-05-10,29500041.0,29500041.0,-17493734.0,142647.0,334773.0,1843062.0,,,,,-15173252,-51800.0,,,-51800.0,,184000.0,60933180.0,61759675.0,46534623
CLX,218764,USD,2021,Q3,2021-04-30,2021-04-30,126140000.0,127871500.0,929000000.0,204000000.0,317000000.0,183000000.0,121000000.0,-220000000.0,,282000000.0,1633000000,-328000000.0,,-85000000.0,-448000000.0,-554000000.0,-138000000.0,-496000000.0,-1206000000.0,-8000000
CMBG,778513,USD,2020,Q3,2020-11-09,2020-11-09,19367844.0,19367844.0,-54804253.0,6389623.0,4139263.0,-183511.0,,,,,-44458878,-9350694.0,0.0,-1568627.0,-9350694.0,,33535859.0,613912.0,33678870.0,-20006780
CMBM,998419,USD,2021,Q1,2021-05-07,2021-05-07,25816701.0,27113246.0,39273000.0,3560000.0,2061000.0,5236000.0,,,,,50130000,-3809000.0,,0.0,-5468000.0,,-20000000.0,3599000.0,-18012000.0,26689000
CMC,980334,USD,2021,Q3,2021-06-24,2021-06-24,119841351.0,121332762.0,328175000.0,166830000.0,46799000.0,-188201000.0,,,,,353603000,-175416000.0,,10824000.0,-168066000.0,-57583000.0,-124390000.0,-5306000.0,-203218000.0,-17555000
CMCO,899253,USD,2020,Q4,2021-05-26,2021-05-26,23897000.0,24173000.0,9106000.0,28153000.0,24217000.0,37414000.0,,,,,98890000,-11854000.0,166000.0,0.0,-5548000.0,-5733000.0,-4450000.0,1973000.0,-10189000.0,87677000
CMCSA,106366,USD,2021,Q1,2021-04-29,2021-04-29,4581250000.0,4636000000.0,11769000000.0,13198000000.0,-602000000.0,2299000000.0,,,,,26664000000,-11606000000.0,-795000000.0,2524000000.0,-11558000000.0,-4243000000.0,-1907000000.0,-610000000.0,-8785000000.0,6367000000
CMD,52478,USD,2021,Q3,2021-05-28,2021-05-28,42243933.0,43461086.0,52067000.0,69119000.0,51578000.0,16301000.0,,,,,189065000,-34435000.0,,-116000.0,-34551000.0,0.0,-55581000.0,-2828000.0,-51310000.0,102762000
CME,378116,USD,2021,Q1,2021-05-05,2021-05-05,357919750.0,358614500.0,1914400000.0,450000000.0,71200000.0,125600002.0,191500000.0,,-13700000.0,-52199998.0,2561200002,-183200000.0,2100000.0,20800000.0,-166500000.0,-2129900000.0,-100000000.0,-10100000.0,-2277500000.0,117200002
CMG,80874,USD,2021,Q1,2021-04-29,2021-04-29,28000250.0,28480750.0,406479000.0,243282000.0,409093000.0,-271105000.0,,,,,787749000,-382318000.0,-97515000.0,-10025000.0,-489858000.0,,,-57229000.0,-105011000.0,194368000
CMI,120498,USD,2021,Q1,2021-05-04,2021-05-04,147625000.0,148650000.0,1894000000.0,675000000.0,-254000000.0,367000000.0,-532000000.0,-119000000.0,582000000.0,436000000.0,2682000000,-540000000.0,-39000000.0,-51000000.0,-645000000.0,-784000000.0,518000000.0,-416000000.0,-699000000.0,1267000000
CMLS,659310,USD,2021,Q1,2021-05-05,2021-05-05,20365658.0,20365658.0,-74285000.0,52910000.0,2100000.0,54215000.0,,,,,34940000,52050000.0,,,52577000.0,,-102576000.0,,99166000.0,186683000
CMP,638470,USD,2021,Q1,2021-05-07,2021-05-07,33948500.0,33958000.0,-191700000.0,139400000.0,287400000.0,-88300000.0,,,,,146800000,-77800000.0,,0.0,-78500000.0,-98400000.0,-11000000.0,0.0,-113700000.0,-46200000
CMPR,889944,USD,2021,Q3,2021-04-29,2021-04-29,25967090.0,26239204.0,-58023000.0,169908000.0,102546000.0,58900000.0,,,,,273331000,-30980000.0,0.0,-37519000.0,-120198000.0,,-314506000.0,0.0,-351684000.0,-191901000
CMRO,692525,USD,2017,Q2,2017-09-15,2017-09-15,14600500.0,14602500.0,-1025000.0,0.0,34000.0,-119000.0,,,,,-1110000,,,,77000.0,,,,,-1033000
CMS,378117,USD,2021,Q1,2021-04-29,2021-04-29,287275000.0,287275000.0,851000000.0,1072000000.0,12000000.0,-28000000.0,,,,,1907000000,-2173000000.0,,-154000000.0,-2591000000.0,-477000000.0,321000000.0,161000000.0,347000000.0,-337000000
CMTL,48404,USD,2021,Q3,2021-06-08,2021-06-08,25239750.0,25216250.0,-79717000.0,31136000.0,6530000.0,-774000.0,,,,,-42825000,-11042000.0,,-382000.0,-11424000.0,-10201000.0,55076000.0,739000.0,42813000.0,-11436000
CNC,378107,USD,2021,Q1,2021-04-27,2021-04-27,580080250.0,588455250.0,2445000000.0,1332000000.0,234000000.0,1775000000.0,239000000.0,,,1536000000.0,5786000000,-879000000.0,-2245000000.0,-1149000000.0,-4290000000.0,,-555000000.0,-97000000.0,-652000000.0,847000000
CNDT,716302,USD,2021,Q1,2021-05-05,2021-05-05,210307250.0,210307250.0,-80000000.0,437000000.0,21000000.0,-27000000.0,,,,,351000000,-79000000.0,,5000000.0,-140000000.0,-10000000.0,-208000000.0,0.0,-229000000.0,-14000000
CNK,760762,USD,2021,Q1,2021-05-07,2021-05-07,116837250.0,116837250.0,-767369000.0,257891000.0,123112000.0,-52250000.0,,,,,-438616000,-66887000.0,0.0,0.0,-66887000.0,0.0,729917000.0,0.0,537288000.0,33429000
CNNX,208611,USD,2020,Q2,2020-07-30,2020-07-30,,,172451000.0,30537000.0,3415000.0,-28389000.0,,,,,178014000,-191704000.0,,,-191704000.0,-94044000.0,109465000.0,,3002000.0,-10688000
CNP,378108,USD,2021,Q1,2021-05-06,2021-05-06,543500000.0,563250000.0,789000000.0,1214000000.0,-159000000.0,-2192000000.0,,,,,-348000000,-2526000000.0,-6000000.0,0.0,-1215000000.0,-478000000.0,600000000.0,1395000000.0,1483000000.0,-80000000
CNS,820401,USD,2021,Q1,2021-05-07,2021-05-07,47923500.0,48705500.0,119527000.0,4667000.0,25326000.0,-45868000.0,,,,,103652000,-2163000.0,47599000.0,,45442000.0,-125562000.0,,-20381000.0,-139842000.0,11757000
CNSL,897291,USD,2021,Q1,2021-04-30,2021-04-30,74471000.0,74471000.0,-40404000.0,317737000.0,64747000.0,36400000.0,,,,,378480000,-246226000.0,1198000.0,0.0,-245028000.0,0.0,-105453000.0,350000000.0,177551000.0,311003000
CNVR,521210,USD,2014,Q3,2014-11-07,2014-11-07,65945250.0,67425000.0,127739000.0,38876000.0,-18532000.0,26144000.0,,,,,174227000,-11444000.0,0.0,48527000.0,37083000.0,,-140000000.0,-93050000.0,-228814000.0,-24706000
CNX,976576,USD,2021,Q1,2021-04-29,2021-04-29,207476759.0,209663463.0,-25497000.0,501601000.0,267576000.0,3652000.0,,,,,747332000,-419319000.0,,0.0,-419319000.0,,-230836000.0,-54383000.0,-330677000.0,-2664000
CNXR,145641,USD,2017,Q4,2018-04-02,2018-04-02,22791178.0,22791178.0,-15544000.0,4403000.0,5236000.0,-8715000.0,,,,,-14620000,-314000.0,,82000.0,-232000.0,-8991000.0,-31000.0,,16387000.0,1535000
CODI,705587,USD,2021,Q1,2021-04-29,2021-04-29,64401000.0,64401000.0,44213000.0,109050000.0,22225000.0,-24458000.0,,,,,151030000,-31866000.0,,-701258000.0,-736455000.0,-91656000.0,359312000.0,83884000.0,355847000.0,-227820000
COG,378102,USD,2021,Q1,2021-04-30,2021-04-30,398715500.0,401000500.0,272973000.0,384916000.0,89771000.0,116205000.0,-62146000.0,1736000.0,,176615000.0,863865000,-549890000.0,,9424000.0,-549890000.0,-159460000.0,-175000000.0,0.0,-343175000.0,-29200000
COGT,808945,USD,2021,Q1,2021-05-12,2021-05-12,17917534.0,17917534.0,-80442000.0,442000.0,45031000.0,-4354000.0,,,,,-39323000,8420000.0,0.0,,8420000.0,,98907000.0,133216000.0,232038000.0,201135000
COHR,365654,USD,2021,Q2,2021-05-12,2021-05-12,24251750.0,24252250.0,-159090000.0,23209000.0,58380000.0,110317000.0,,,,,32816000,-43564000.0,-14974000.0,0.0,-58538000.0,0.0,-10102000.0,12437000.0,-7166000.0,-15205000
COKE,156024,USD,2021,Q1,2021-05-11,2021-05-11,2232000.0,2277250.0,219859000.0,155853000.0,102865000.0,65505000.0,,,,,544082000,-204344000.0,,-1391000.0,-207733000.0,-9373000.0,-173712000.0,,-332269000.0,4080000
COL,378209,USD,2018,Q4,2018-11-27,2018-11-27,164000000.0,165800000.0,1032000000.0,204000000.0,-108000000.0,-1438000000.0,,,,,-310000000,-257000000.0,,0.0,-256000000.0,-216000000.0,781000000.0,51000000.0,610000000.0,35000000
COLM,446285,USD,2021,Q1,2021-05-06,2021-05-06,66224250.0,66640250.0,163700000.0,144066000.0,29902000.0,36554000.0,,,,,374222000,-23202000.0,,0.0,12852000.0,-17285000.0,-178446000.0,8372000.0,-193043000.0,202533000
COMM,446289,USD,2021,Q1,2021-05-06,2021-05-06,198500000.0,198500000.0,-511100000.0,817100000.0,151900000.0,-103000001.0,,,,,354899999,-117800000.0,,-3500000.0,-121800000.0,-28600000.0,-232000000.0,12000000.0,-313500000.0,-68400001
CONE,1055097,USD,2021,Q1,2021-04-29,2021-04-29,118675000.0,118950000.0,44900000.0,462700000.0,-6300000.0,-24600000.0,,,,,476700000,-884500000.0,187500000.0,8800000.0,-697000000.0,-240800000.0,237000000.0,420900000.0,403000001.0,183700000
CONN,230908,USD,2021,Q1,2021-06-03,2021-06-03,29120041.0,29120041.0,98463000.0,42593000.0,244415000.0,54893000.0,100757000.0,2022000.0,202000.0,-48088000.0,440364000,-48702000.0,,,-48702000.0,,-599892000.0,701000.0,-694239000.0,-302577000
COO,186450,USD,2021,Q2,2021-06-04,2021-06-04,49075000.0,49625000.0,2355000000.0,300700000.0,-1916900000.0,-67400000.0,8500000.0,-62300000.0,23200000.0,-36800000.0,671400000,-257900000.0,,-213800000.0,-471700000.0,-3000000.0,-161700000.0,-20500000.0,-182900000.0,25600000
COP,378120,USD,2021,Q1,2021-05-06,2021-05-06,1077197500.0,1077434250.0,38000000.0,5996000000.0,-373000000.0,-884000000.0,,,,,4777000000,-3515000000.0,-222000000.0,,-3404000000.0,-1961000000.0,44000000.0,-576000000.0,-2493000000.0,-1020000000
COR,82753,USD,2021,Q1,2021-04-30,2021-04-30,41713866.0,41906300.0,96544000.0,172552000.0,18159000.0,-292000.0,,,,,286963000,-212016000.0,,0.0,-212016000.0,-237441000.0,163500000.0,451000.0,-74463000.0,484000
CORT,724383,USD,2021,Q1,2021-05-06,2021-05-06,115972750.0,126054500.0,99411000.0,541000.0,44015000.0,156000.0,,,,,144123000,-1322000.0,-140959000.0,,-142281000.0,,-6600000.0,-16427000.0,-33938000.0,-32096000
COST,217867,USD,2021,Q3,2021-06-03,2021-06-03,442970500.0,444375000.0,4789000000.0,1727000000.0,1105000000.0,2639000000.0,,-2587000000.0,4088000000.0,1138000000.0,10260000000,-3346000000.0,,-30000000.0,-3321000000.0,-5669000000.0,-1217000000.0,-452000000.0,-7687000000.0,-600000000
COT,727266,USD,2021,Q1,2021-05-07,2021-05-07,160319750.0,160319750.0,-139599999.0,210200000.0,171400000.0,-24400000.0,,,,,217600001,-113100000.0,0.0,-23500000.0,-135900000.0,-39500000.0,-40700000.0,-600000.0,-90600000.0,-9999999
COTV,146741,USD,2018,Q2,2018-07-26,2018-07-26,92550645.0,95295521.0,160642000.0,86547000.0,-2967000.0,-32705000.0,,,,,211517000,-41894000.0,,-69992000.0,-111886000.0,0.0,-18000000.0,4784000.0,-13216000.0,86501000
COTY,376164,USD,2021,Q3,2021-05-10,2021-05-10,764300000.0,801325000.0,-792800000.0,604900000.0,249900000.0,-31000000.0,161200000.0,141400000.0,-265300000.0,-68300000.0,31000000,-200000000.0,,2201100000.0,2411500000.0,-1500000.0,-3390900000.0,0.0,-3394900001.0,-953600001
COUP,811353,USD,2021,Q1,2021-06-08,2021-06-08,70408250.0,70408250.0,-265658000.0,98142000.0,274666000.0,-12274000.0,,,,,94876000,-10647000.0,165778000.0,-905088000.0,-749957000.0,,878719000.0,37272000.0,725428000.0,70772000
COVS,43077,USD,2016,Q4,2017-07-25,2017-07-25,39658000.0,39658000.0,-14894000.0,6772000.0,2983000.0,1273000.0,,,,,-3866000,-3784000.0,,,-8022000.0,,-728000.0,2191000.0,1463000.0,-10396000
CP,102322,USD,2021,Q1,2021-04-22,2021-04-22,673250000.0,675875000.0,2637000000.0,789000000.0,-531000000.0,,,,,,2895000000,-1980000000.0,,,-1954000000.0,-480000000.0,685000000.0,-972000000.0,-800000000.0,113000000
CPB,249099,USD,2021,Q3,2021-06-09,2021-06-09,302500000.0,304500000.0,800000000.0,320000000.0,253000000.0,-221000000.0,,,,,1152000000,-269000000.0,,0.0,-223000000.0,-433000000.0,-1514000000.0,-21000000.0,-1965000000.0,-1033000000
CPLG,949495,USD,2021,Q1,2021-05-07,2021-05-07,56725000.0,56725000.0,-188000000.0,157000000.0,1000000.0,-10000000.0,,,,,-40000000,179000000.0,,,184000000.0,-11000000.0,-212000000.0,-1000000.0,-239000000.0,-95000000
CPN,113443,USD,2020,Q2,2020-08-13,2020-08-13,355245000.0,355245000.0,633000000.0,744000000.0,-80000000.0,174000000.0,,,,,1471000000,-278000000.0,,0.0,-247000000.0,-1151000000.0,1337000000.0,0.0,-865000000.0,359000000
